Length,Moment
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,-0.000973773262369748
53,-0.001947546524739496
54,-0.002921319787109244
55,-0.003895093049478992
56,-0.00486886631184874
57,-0.005842639574218488
58,-0.006816412836588236
59,-0.007790186098957984
60,-0.008763959361327732
61,-0.00973773262369748
62,-0.010711505886067228
63,-0.011685279148436976
64,-0.012659052410806724
65,-0.013632825673176472
66,-0.01460659893554622
67,-0.015580372197915969
68,-0.016554145460285715
69,-0.017527918722655463
70,-0.01850169198502521
71,-0.01947546524739496
72,-0.020449238509764708
73,-0.021423011772134456
74,-0.022396785034504204
75,-0.023370558296873952
76,-0.0243443315592437
77,-0.02531810482161345
78,-0.026291878083983197
79,-0.027265651346352945
80,-0.028239424608722693
81,-0.02921319787109244
82,-0.03018697113346219
83,-0.031160744395831937
84,-0.03213451765820168
85,-0.03310829092057143
86,-0.03408206418294118
87,-0.035055837445310926
88,-0.036029610707680675
89,-0.03700338397005042
90,-0.03797715723242017
91,-0.03895093049478992
92,-0.03992470375715967
93,-0.040898477019529415
94,-0.041872250281899163
95,-0.04284602354426891
96,-0.04381979680663866
97,-0.04479357006900841
98,-0.045767343331378156
99,-0.046741116593747904
100,-0.04771488985611765
101,-0.0486886631184874
102,-0.04966243638085715
103,-0.0506362096432269
104,-0.051609982905596645
105,-0.05258375616796639
106,-0.05355752943033614
107,-0.05453130269270589
108,-0.05550507595507564
109,-0.056478849217445386
110,-0.057452622479815134
111,-0.05842639574218488
112,-0.05940016900455463
113,-0.06037394226692438
114,-0.061347715529294126
115,-0.062321488791663875
116,-0.06329526205403362
117,-0.06426903531640336
118,-0.06524280857877311
119,-0.06621658184114286
120,-0.06719035510351261
121,-0.06816412836588236
122,-0.0691379016282521
123,-0.07011167489062185
124,-0.0710854481529916
125,-0.07205922141536135
126,-0.0730329946777311
127,-0.07400676794010085
128,-0.0749805412024706
129,-0.07595431446484034
130,-0.07692808772721009
131,-0.07790186098957984
132,-0.07887563425194959
133,-0.07984940751431933
134,-0.08082318077668908
135,-0.08179695403905883
136,-0.08277072730142858
137,-0.08374450056379833
138,-0.08471827382616808
139,-0.08569204708853782
140,-0.08666582035090757
141,-0.08763959361327732
142,-0.08861336687564707
143,-0.08958714013801682
144,-0.09056091340038656
145,-0.09153468666275631
146,-0.09250845992512606
147,-0.09348223318749581
148,-0.09445600644986556
149,-0.0954297797122353
150,-0.09640355297460505
151,-0.0973773262369748
152,-0.09835109949934455
153,-0.0993248727617143
154,-0.10029864602408405
155,-0.1067476733751548
156,-0.11319670072622555
157,-0.1196457280772963
158,-0.12609475542836707
159,-0.13254378277943782
160,-0.13899281013050857
161,-0.14544183748157932
162,-0.15189086483265007
163,-0.15833989218372083
164,-0.16478891953479158
165,-0.17123794688586233
166,-0.17768697423693308
167,-0.18413600158800383
168,-0.19058502893907459
169,-0.19703405629014534
170,-0.2034830836412161
171,-0.20993211099228684
172,-0.2163811383433576
173,-0.22283016569442834
174,-0.2292791930454991
175,-0.23572822039656985
176,-0.2421772477476406
177,-0.24862627509871135
178,-0.2550753024497821
179,-0.2615243298008529
180,-0.26797335715192366
181,-0.27442238450299444
182,-0.2808714118540652
183,-0.287320439205136
184,-0.2937694665562068
185,-0.30021849390727756
186,-0.30666752125834834
187,-0.3131165486094191
188,-0.3195655759604899
189,-0.3260146033115607
190,-0.33246363066263146
191,-0.33891265801370224
192,-0.345361685364773
193,-0.3518107127158438
194,-0.3582597400669146
195,-0.36470876741798536
196,-0.37115779476905614
197,-0.3776068221201269
198,-0.3840558494711977
199,-0.3905048768222685
200,-0.39695390417333926
201,-0.40340293152441004
202,-0.4098519588754808
203,-0.4163009862265516
204,-0.4227500135776224
205,-0.42919904092869315
206,-0.43564806827976393
207,-0.4420970956308347
208,-0.4485461229819055
209,-0.4549951503329763
210,-0.46144417768404705
211,-0.46789320503511783
212,-0.4743422323861886
213,-0.4807912597372594
214,-0.48724028708833017
215,-0.49368931443940095
216,-0.5001383417904717
217,-0.5065873691415425
218,-0.5130363964926132
219,-0.519485423843684
220,-0.5259344511947548
221,-0.5323834785458256
222,-0.5388325058968964
223,-0.5452815332479671
224,-0.5517305605990379
225,-0.5581795879501087
226,-0.5646286153011795
227,-0.5710776426522503
228,-0.577526670003321
229,-0.5839756973543918
230,-0.5904247247054626
231,-0.5968737520565334
232,-0.6033227794076041
233,-0.6097718067586749
234,-0.6162208341097457
235,-0.6226698614608165
236,-0.6291188888118873
237,-0.635567916162958
238,-0.6420169435140288
239,-0.6484659708650996
240,-0.6549149982161704
241,-0.6613640255672412
242,-0.667813052918312
243,-0.6742620802693827
244,-0.6807111076204535
245,-0.6871601349715243
246,-0.6936091623225951
247,-0.7000581896736658
248,-0.7065072170247366
249,-0.7129562443758074
250,-0.7194052717268782
251,-0.725854299077949
252,-0.7323033264290197
253,-0.7387523537800905
254,-0.7452013811311613
255,-0.7516504084822321
256,-0.7580994358333029
257,-0.775204746015179
258,-0.7923100561970551
259,-0.8094153663789312
260,-0.8265206765608073
261,-0.8436259867426834
262,-0.8607312969245595
263,-0.8778366071064356
264,-0.8949419172883117
265,-0.9120472274701878
266,-0.929152537652064
267,-0.9462578478339401
268,-0.9633631580158162
269,-0.9804684681976923
270,-0.9975737783795684
271,-1.0146790885614445
272,-1.0317843987433206
273,-1.0488897089251967
274,-1.0659950191070728
275,-1.083100329288949
276,-1.100205639470825
277,-1.1173109496527012
278,-1.1344162598345773
279,-1.1515215700164534
280,-1.1686268801983295
281,-1.1857321903802056
282,-1.2028375005620817
283,-1.2199428107439578
284,-1.237048120925834
285,-1.25415343110771
286,-1.2712587412895862
287,-1.2883640514714623
288,-1.3054693616533384
289,-1.3225746718352145
290,-1.3396799820170906
291,-1.3567852921989667
292,-1.3738906023808428
293,-1.390995912562719
294,-1.408101222744595
295,-1.4252065329264711
296,-1.4423118431083473
297,-1.4594171532902234
298,-1.4765224634720995
299,-1.4936277736539756
300,-1.5107330838358517
301,-1.5278383940177278
302,-1.544943704199604
303,-1.56204901438148
304,-1.5791543245633561
305,-1.5962596347452322
306,-1.6133649449271084
307,-1.6304702551089845
308,-1.6475755652908606
309,-1.6646808754727367
310,-1.6817861856546128
311,-1.698891495836489
312,-1.715996806018365
