Station Number,Volume (m^3),Mass (kg),Weight (N),Distance to Next Station (mm),Width (mm)
1,8.271944124785491e-05,0.07610188594802651,0.7465595011501401,102.678571,0.0
2,0.00046510823043671484,0.42789957200177764,4.197694801337438,102.678572,68.218842
3,0.0009052228024809169,0.8328049782824436,8.169816836950773,102.67857099999998,131.567056
4,0.0012820917890558113,1.1795244459313463,11.571134814586507,102.67857200000003,190.225036
5,0.0016126490297109718,1.4836371073340942,14.554480022947464,102.67857100000003,244.373178
6,0.0019070668378820595,1.7545014908514949,17.211659625253166,102.67857199999992,294.191874
7,0.002172607240712209,1.9987986614552322,19.60821486887583,102.67857100000003,339.861516
8,0.0024131872228653228,2.2201322450360967,21.77949732380411,102.67857100000003,381.5625
9,0.0026309725826047007,2.4204947759963247,23.745053752523948,102.67857199999992,419.475218
10,0.0028274120331468282,2.601219070495082,25.517959081556757,102.67857100000015,453.780066
11,0.003003702376064783,2.7634061859796004,27.109014684459883,102.6785719999998,484.657434
12,0.0031609603525864275,2.908083524379513,28.528299374163026,102.67857100000015,512.287718
13,0.0033002806190359983,3.0362581695131183,29.785692642923692,102.67857200000003,536.851312
14,0.0034227513348041344,3.1489312280198036,30.891015346874276,102.67857099999992,558.528608
15,0.003529460387117274,3.247103556147892,31.85408588581082,102.67857099999992,577.5
16,0.0036214948734915836,3.3317752836122567,32.68471553223624,102.67857200000003,593.945882
17,0.003699941231296353,3.403945932792645,33.39270960069585,102.67857100000015,608.046648
18,0.0037658870738408214,3.464616107933556,33.98788401882818,102.6785719999998,619.98269
19,0.0038204191775810495,3.5147856433745654,34.48004716150449,102.67857100000015,629.934402
20,0.003864624831714785,3.5554548451776022,34.87901203119228,102.67857200000003,638.08218
21,0.003899590418574873,3.5876231850888836,35.194583445721946,102.67857099999992,644.606414
22,0.003926403550594304,3.6122912665467597,35.436577324823716,102.67857099999992,649.6875
23,0.003946151251035527,3.6304591509526847,35.61480427084584,102.67857200000026,653.50583
24,0.00395991995340316,3.6431263571309076,35.73906956345421,102.67857099999992,656.2418
25,0.003968797307692416,3.651293523077023,35.8191894613856,102.6785719999998,658.075802
26,0.003973870035743725,3.655960432884227,35.864971846594266,102.67857099999992,659.188228
27,0.003976225455294635,3.6581274188710644,35.88622997912514,102.67857200000026,659.759476
28,0.003976949934683465,3.6587939399087874,35.89276855050521,102.67857099999992,659.969934
29,0.003976949934683465,3.6587939399087874,35.89276855050521,102.67857099999992,660.0
30,0.003976225455294635,3.6581274188710644,35.88622997912514,102.67857200000026,659.969934
31,0.003973870035743725,3.655960432884227,35.864971846594266,102.67857099999992,659.759476
32,0.003968797307692416,3.651293523077023,35.8191894613856,102.6785719999998,659.188228
33,0.00395991995340316,3.6431263571309076,35.73906956345421,102.67857099999992,658.075802
34,0.003946151251035527,3.6304591509526847,35.61480427084584,102.67857200000026,656.2418
35,0.003926403550594304,3.6122912665467597,35.436577324823716,102.67857099999992,653.50583
36,0.003899590418574918,3.5876231850889244,35.19458344572235,102.67857099999992,649.6875
37,0.0038646248317147905,3.555454845177607,34.879012031192325,102.67857200000026,644.606414
38,0.003820419177581001,3.514785643374521,34.480047161504054,102.67857099999992,638.08218
39,0.0037658870738408214,3.464616107933556,33.98788401882818,102.6785719999998,629.934402
40,0.003699941231296316,3.4039459327926105,33.39270960069551,102.67857099999992,619.98269
41,0.003621494873491496,3.3317752836121763,32.68471553223545,102.6785719999998,608.046648
42,0.0035294603871173858,3.247103556147995,31.85408588581183,102.67857100000037,593.945882
43,0.003422751334804248,3.148931228019908,30.8910153468753,102.67857100000037,577.5
44,0.003300280619035995,3.0362581695131152,29.78569264292366,102.6785719999998,558.528608
45,0.003160960352586182,2.9080835243792875,28.528299374160813,102.67857099999947,536.851312
46,0.0030037023760650324,2.76340618597983,27.109014684462135,102.67857200000071,512.287718
47,0.002827412033146644,2.6012190704949125,25.517959081555095,102.67857099999947,484.657434
48,0.0026309725826046968,2.420494775996321,23.745053752523912,102.6785719999998,453.780066
49,0.0024131872228653917,2.2201322450361602,21.779497323804733,102.67857100000037,419.475218
50,0.0021726072407122683,1.9987986614552868,19.608214868876367,102.67857100000037,381.5625
51,0.0019070668378820595,1.7545014908514949,17.211659625253166,102.6785719999998,339.861516
52,0.0016126490297108684,1.483637107333999,14.55448002294653,102.67857099999947,294.191874
53,0.0012820917890559043,1.179524445931432,11.57113481458735,102.67857200000071,244.373178
54,0.0009052228024808606,0.8328049782823918,8.169816836950263,102.67857099999947,190.225036
55,0.00046510823043671273,0.4278995720017757,4.19769480133742,102.6785719999998,131.567056
56,8.271944124785717e-05,0.0761018859480286,0.7465595011501606,102.67857100000037,0.0
