Station No.,Buoyancy Force [N],Canoe and Paddlers Weight In Position
1,-0.09704958877731709,0.07444749712306942
2,0.9856968943147892,0.41859740739304335
3,2.3133186051823453,0.8147005222328252
4,3.4851837091714755,1.1538826101502302
5,4.478926690317273,1.4513841267398746
6,5.344407987014146,1.7163601540938536
7,6.116523946453014,1.955346516640988
8,6.812965927860436,2.1718685005787903
9,7.442420825985384,2.3678753243442308
10,8.00989019120025,2.544670829832145
11,8.51907607694724,2.703332138458305
12,8.97327155156517,2.8448643173277848
13,9.37565463810558,2.9702525571323983
14,9.729373041693766,3.080476201323721
15,10.037568289676283,3.1765143484055467
16,10.303380195318923,3.2593453861424253
17,10.529948016765765,3.329947108166718
18,10.720411699922705,3.3892983664567393
19,10.87791031688901,3.4383772598229445
20,11.005583802947271,3.4781623485433064
21,11.106571249622341,3.509631376717386
22,11.184012493595084,3.5337631955348736
23,11.241047028715077,3.551536125931974
24,11.280814038010014,3.5639279580628442
25,11.30645348452562,3.5719175769231746
26,11.321104414886431,3.576483032169352
27,11.327906781463737,3.5786029097651717
28,11.32999967360254,3.5792549412151184
29,11.32999967360254,3.5792549412151184
30,11.327906781463737,3.5786029097651717
31,11.321104414886431,3.576483032169352
32,11.30645348452562,3.5719175769231746
33,11.280814038010014,3.5639279580628442
34,11.241047028715077,3.551536125931974
35,11.184012493595084,3.5337631955348736
36,11.106571249622341,3.509631376717426
37,11.005583802947294,3.4781623485433113
38,10.877910316888984,3.438377259822901
39,10.720411699922705,3.3892983664567393
40,10.529948016765738,3.3299471081666843
41,10.303380195318901,3.2593453861423463
42,10.037568289676328,3.176514348405647
43,9.729373041693806,3.0804762013238234
44,9.375654638105559,2.970252557132395
45,8.973271551565112,2.8448643173275636
46,8.519076076947316,2.703332138458529
47,8.009890191200196,2.5446708298319796
48,7.442420825985376,2.367875324344227
49,6.812965927860458,2.1718685005788525
50,6.116523946453032,1.9553465166410415
51,5.344407987014138,1.7163601540938536
52,4.478926690317246,1.4513841267397816
53,3.4851837091714994,1.153882610150314
54,2.313318605182334,0.8147005222327746
55,0.883004521438165,0.41859740739304147
56,-0.09704958877731688,0.07444749712307146
