Station,Length,Moment
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,0.0
1,38,0.0
1,39,0.0
1,40,0.0
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.0
1,47,0.0
1,48,0.0
1,49,0.0
1,50,0.0
1,51,-0.002861183665553698
1,52,-0.005722367331107396
1,53,-0.008583550996661093
1,54,-0.011444734662214791
1,55,-0.01430591832776849
1,56,-0.01716710199332219
1,57,-0.020028285658875888
1,58,-0.022889469324429586
1,59,-0.025750652989983285
1,60,-0.028611836655536984
1,61,-0.03147302032109068
1,62,-0.03433420398664438
1,63,-0.03719538765219808
1,64,-0.040056571317751775
1,65,-0.042917754983305474
1,66,-0.04577893864885917
1,67,-0.04864012231441287
1,68,-0.05150130597996657
1,69,-0.05436248964552027
1,70,-0.05722367331107397
1,71,-0.06008485697662767
1,72,-0.06294604064218136
1,73,-0.06580722430773506
1,74,-0.06866840797328876
1,75,-0.07152959163884245
1,76,-0.07439077530439615
1,77,-0.07725195896994985
1,78,-0.08011314263550355
1,79,-0.08297432630105725
1,80,-0.08583550996661095
1,81,-0.08869669363216465
1,82,-0.09155787729771835
1,83,-0.09441906096327204
1,84,-0.09728024462882574
1,85,-0.10014142829437944
1,86,-0.10300261195993314
1,87,-0.10586379562548684
1,88,-0.10872497929104054
1,89,-0.11158616295659424
1,90,-0.11444734662214794
1,91,-0.11730853028770163
1,92,-0.12016971395325533
1,93,-0.12303089761880903
1,94,-0.12589208128436272
1,95,-0.1287532649499164
1,96,-0.1316144486154701
1,97,-0.13447563228102377
1,98,-0.13733681594657746
1,99,-0.14019799961213114
1,100,-0.14305918327768483
2,101,-0.1459203669432385
2,102,-0.1487815506087922
2,103,-0.15164273427434588
2,104,-0.15450391793989957
2,105,-0.15736510160545325
2,106,-0.16022628527100694
2,107,-0.16308746893656062
2,108,-0.1659486526021143
2,109,-0.168809836267668
2,110,-0.17167101993322167
2,111,-0.17453220359877536
2,112,-0.17739338726432904
2,113,-0.18025457092988273
2,114,-0.18311575459543641
2,115,-0.1859769382609901
2,116,-0.18883812192654378
2,117,-0.19169930559209747
2,118,-0.19456048925765115
2,119,-0.19742167292320484
2,120,-0.20028285658875852
2,121,-0.2031440402543122
2,122,-0.2060052239198659
2,123,-0.20886640758541958
2,124,-0.21172759125097326
2,125,-0.21458877491652695
2,126,-0.21744995858208063
2,127,-0.22031114224763432
2,128,-0.223172325913188
2,129,-0.2260335095787417
2,130,-0.22889469324429537
2,131,-0.23175587690984906
2,132,-0.23461706057540274
2,133,-0.23747824424095643
2,134,-0.2403394279065101
2,135,-0.2432006115720638
2,136,-0.24606179523761748
2,137,-0.24892297890317117
2,138,-0.2517841625687249
2,139,-0.2546453462342786
2,140,-0.2575065298998323
2,141,-0.260367713565386
2,142,-0.26322889723093973
2,143,-0.26609008089649344
2,144,-0.26895126456204715
2,145,-0.27181244822760087
2,146,-0.2746736318931546
2,147,-0.2775348155587083
2,148,-0.280395999224262
