Station,Length,Moment
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.0
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
0,25,0.0
0,26,0.0
0,27,0.0
0,28,0.0
0,29,0.0
0,30,0.0
0,31,0.0
0,32,0.0
0,33,0.0
0,34,0.0
0,35,0.0
0,36,0.0
0,37,0.0
0,38,0.0
0,39,0.0
0,40,0.0
0,41,0.0
0,42,0.0
0,43,0.0
0,44,0.0
0,45,0.0
0,46,0.0
0,47,0.0
0,48,0.0
0,49,0.0
0,50,0.0
0,51,0.0
0,52,-0.00022042956006651878
0,53,-0.00044085912013303757
0,54,-0.0006612886801995563
0,55,-0.0008817182402660751
0,56,-0.001102147800332594
0,57,-0.0013225773603991128
0,58,-0.0015430069204656316
0,59,-0.0017634364805321505
0,60,-0.0019838660405986693
0,61,-0.002204295600665188
0,62,-0.0024247251607317066
0,63,-0.002645154720798225
0,64,-0.002865584280864744
0,65,-0.0030860138409312624
0,66,-0.003306443400997781
0,67,-0.0035268729610642997
0,68,-0.0037473025211308183
0,69,-0.003967732081197337
0,70,-0.0041881616412638555
0,71,-0.004408591201330374
0,72,-0.004629020761396893
0,73,-0.004849450321463411
0,74,-0.00506987988152993
0,75,-0.005290309441596449
0,76,-0.005510739001662967
0,77,-0.005731168561729486
0,78,-0.0059515981217960045
0,79,-0.006172027681862523
0,80,-0.006392457241929042
0,81,-0.00661288680199556
0,82,-0.006833316362062079
0,83,-0.007053745922128598
0,84,-0.007274175482195116
0,85,-0.007494605042261635
0,86,-0.0077150346023281535
0,87,-0.007935464162394672
0,88,-0.00815589372246119
0,89,-0.00837632328252771
0,90,-0.008596752842594228
0,91,-0.008817182402660747
0,92,-0.009037611962727265
0,93,-0.009258041522793784
0,94,-0.009478471082860302
0,95,-0.009698900642926821
0,96,-0.00991933020299334
0,97,-0.010139759763059858
0,98,-0.010360189323126377
0,99,-0.010580618883192896
0,100,-0.010801048443259414
0,101,-0.011021478003325933
0,102,-0.011241907563392451
1,103,-0.01146233712345897
1,104,-0.011682766683525489
1,105,-0.011903196243592007
1,106,-0.012123625803658526
1,107,-0.012344055363725044
1,108,-0.012564484923791563
1,109,-0.012784914483858082
1,110,-0.0130053440439246
1,111,-0.013225773603991119
1,112,-0.013446203164057638
1,113,-0.013666632724124156
1,114,-0.013887062284190675
1,115,-0.014107491844257193
1,116,-0.014327921404323712
1,117,-0.01454835096439023
1,118,-0.01476878052445675
1,119,-0.014989210084523268
1,120,-0.015209639644589787
1,121,-0.015430069204656305
1,122,-0.015650498764722826
1,123,-0.015870928324789344
1,124,-0.016091357884855863
1,125,-0.01631178744492238
1,126,-0.0165322170049889
1,127,-0.01675264656505542
1,128,-0.016973076125121937
1,129,-0.017193505685188456
1,130,-0.017413935245254974
1,131,-0.017634364805321493
1,132,-0.01785479436538801
1,133,-0.01807522392545453
1,134,-0.01829565348552105
1,135,-0.018516083045587568
1,136,-0.018736512605654086
1,137,-0.018956942165720605
1,138,-0.019177371725787123
1,139,-0.019397801285853642
1,140,-0.01961823084592016
1,141,-0.01983866040598668
1,142,-0.020059089966053198
1,143,-0.020279519526119717
1,144,-0.020499949086186235
1,145,-0.020720378646252754
1,146,-0.020940808206319272
1,147,-0.02116123776638579
1,148,-0.02138166732645231
1,149,-0.02160209688651883
1,150,-0.021822526446585347
1,151,-0.022042956006651866
1,152,-0.022263385566718384
1,153,-0.022483815126784903
1,154,-0.02270424468685142
1,155,-0.02418417269842593
1,156,-0.025664100710000436
1,157,-0.027144028721574943
1,158,-0.02862395673314945
1,159,-0.030103884744723957
1,160,-0.031583812756298464
1,161,-0.033063740767872975
1,162,-0.034543668779447485
1,163,-0.036023596791021996
1,164,-0.037503524802596507
1,165,-0.03898345281417102
1,166,-0.04046338082574553
1,167,-0.04194330883732004
1,168,-0.04342323684889455
1,169,-0.04490316486046906
1,170,-0.04638309287204357
1,171,-0.04786302088361808
1,172,-0.04934294889519259
1,173,-0.0508228769067671
1,174,-0.05230280491834161
1,175,-0.05378273292991612
1,176,-0.055262660941490634
1,177,-0.056742588953065144
1,178,-0.058222516964639655
1,179,-0.059702444976214165
1,180,-0.061182372987788676
1,181,-0.06266230099936318
1,182,-0.06414222901093769
1,183,-0.0656221570225122
1,184,-0.06710208503408671
1,185,-0.06858201304566122
1,186,-0.07006194105723573
1,187,-0.07154186906881024
1,188,-0.07302179708038475
1,189,-0.07450172509195926
1,190,-0.07598165310353377
1,191,-0.07746158111510829
1,192,-0.0789415091266828
1,193,-0.0804214371382573
1,194,-0.08190136514983182
1,195,-0.08338129316140633
1,196,-0.08486122117298084
1,197,-0.08634114918455535
1,198,-0.08782107719612986
1,199,-0.08930100520770437
1,200,-0.09078093321927888
1,201,-0.09226086123085339
1,202,-0.0937407892424279
1,203,-0.09522071725400241
1,204,-0.09670064526557692
2,205,-0.09818057327715143
2,206,-0.09966050128872594
2,207,-0.10114042930030046
2,208,-0.10262035731187497
2,209,-0.10410028532344948
2,210,-0.10558021333502399
2,211,-0.1070601413465985
2,212,-0.10854006935817301
2,213,-0.11001999736974752
2,214,-0.11149992538132203
2,215,-0.11297985339289654
2,216,-0.11445978140447105
2,217,-0.11593970941604556
2,218,-0.11741963742762007
2,219,-0.11889956543919458
2,220,-0.12037949345076909
2,221,-0.1218594214623436
2,222,-0.12333934947391811
2,223,-0.12481927748549262
2,224,-0.12629920549706714
2,225,-0.12777913350864165
2,226,-0.12925906152021616
2,227,-0.13073898953179067
2,228,-0.13221891754336518
2,229,-0.1336988455549397
2,230,-0.1351787735665142
2,231,-0.1366587015780887
2,232,-0.13813862958966322
2,233,-0.13961855760123773
2,234,-0.14109848561281224
2,235,-0.14257841362438675
2,236,-0.14405834163596126
2,237,-0.14553826964753577
2,238,-0.14701819765911028
2,239,-0.1484981256706848
2,240,-0.1499780536822593
2,241,-0.15145798169383382
2,242,-0.15293790970540833
2,243,-0.15441783771698284
2,244,-0.15589776572855735
2,245,-0.15737769374013186
2,246,-0.15885762175170637
2,247,-0.16033754976328088
2,248,-0.1618174777748554
2,249,-0.1632974057864299
2,250,-0.1647773337980044
2,251,-0.16625726180957892
2,252,-0.16773718982115343
2,253,-0.16921711783272794
2,254,-0.17069704584430245
2,255,-0.17217697385587696
2,256,-0.17365690186745147
2,257,-0.17762024895776013
2,258,-0.18158359604806878
2,259,-0.18554694313837744
2,260,-0.1895102902286861
2,261,-0.19347363731899475
2,262,-0.1974369844093034
2,263,-0.20140033149961206
2,264,-0.20536367858992072
2,265,-0.20932702568022937
2,266,-0.21329037277053803
2,267,-0.21725371986084668
2,268,-0.22121706695115534
2,269,-0.225180414041464
2,270,-0.22914376113177265
2,271,-0.2331071082220813
2,272,-0.23707045531238996
2,273,-0.24103380240269862
2,274,-0.24499714949300727
2,275,-0.24896049658331593
2,276,-0.2529238436736246
2,277,-0.25688719076393324
2,278,-0.2608505378542419
2,279,-0.26481388494455055
2,280,-0.2687772320348592
2,281,-0.27274057912516786
2,282,-0.2767039262154765
2,283,-0.28066727330578517
2,284,-0.2846306203960938
2,285,-0.2885939674864025
2,286,-0.29255731457671114
2,287,-0.2965206616670198
2,288,-0.30048400875732845
2,289,-0.3044473558476371
2,290,-0.30841070293794576
2,291,-0.3123740500282544
2,292,-0.31633739711856307
2,293,-0.3203007442088717
