Station,Length,Shear
0,0,-796.3838578973359
0,1,-796.3838578973359
0,2,-796.3838578973359
0,3,-796.3838578973359
0,4,-796.3838578973359
0,5,-796.3838578973359
0,6,-796.3838578973359
0,7,-796.3838578973359
0,8,-796.3838578973359
0,9,-796.3838578973359
0,10,-796.3838578973359
0,11,-796.3838578973359
0,12,-796.3838578973359
0,13,-796.3838578973359
0,14,-796.3838578973359
0,15,-796.3838578973359
0,16,-796.3838578973359
0,17,-796.3838578973359
0,18,-796.3838578973359
0,19,-796.3838578973359
0,20,-796.3838578973359
0,21,-796.3838578973359
0,22,-796.3838578973359
0,23,-796.3838578973359
0,24,-796.3838578973359
0,25,-796.3838578973359
0,26,-796.3838578973359
0,27,-796.3838578973359
0,28,-796.3838578973359
0,29,-796.3838578973359
0,30,-796.3838578973359
0,31,-796.3838578973359
0,32,-796.3838578973359
0,33,-796.3838578973359
0,34,-796.3838578973359
0,35,-796.3838578973359
0,36,-796.3838578973359
0,37,-796.3838578973359
0,38,-796.3838578973359
0,39,-796.3838578973359
0,40,-796.3838578973359
0,41,-796.3838578973359
0,42,-796.3838578973359
0,43,-796.3838578973359
0,44,-796.3838578973359
0,45,-796.3838578973359
0,46,-796.3838578973359
0,47,-796.3838578973359
0,48,-796.3838578973359
0,49,-796.3838578973359
0,50,-796.3838578973359
0,51,-796.3838578973359
0,52,-868.3605504865792
0,53,-868.3605504865792
0,54,-868.3605504865792
0,55,-868.3605504865792
0,56,-868.3605504865792
0,57,-868.3605504865792
0,58,-868.3605504865792
0,59,-868.3605504865792
0,60,-868.3605504865792
0,61,-868.3605504865792
0,62,-868.3605504865792
0,63,-868.3605504865792
0,64,-868.3605504865792
0,65,-868.3605504865792
0,66,-868.3605504865792
0,67,-868.3605504865792
0,68,-868.3605504865792
0,69,-868.3605504865792
0,70,-868.3605504865792
0,71,-868.3605504865792
0,72,-868.3605504865792
0,73,-868.3605504865792
0,74,-868.3605504865792
0,75,-868.3605504865792
0,76,-868.3605504865792
0,77,-868.3605504865792
0,78,-868.3605504865792
0,79,-868.3605504865792
0,80,-868.3605504865792
0,81,-868.3605504865792
0,82,-868.3605504865792
0,83,-868.3605504865792
0,84,-868.3605504865792
0,85,-868.3605504865792
0,86,-868.3605504865792
0,87,-868.3605504865792
0,88,-868.3605504865792
0,89,-868.3605504865792
0,90,-868.3605504865792
0,91,-868.3605504865792
0,92,-868.3605504865792
0,93,-868.3605504865792
0,94,-868.3605504865792
0,95,-868.3605504865792
0,96,-868.3605504865792
0,97,-868.3605504865792
0,98,-868.3605504865792
0,99,-868.3605504865792
0,100,-868.3605504865792
0,101,-868.3605504865792
0,102,-868.3605504865792
1,103,-868.3605504865792
1,104,-868.3605504865792
1,105,-868.3605504865792
1,106,-868.3605504865792
1,107,-868.3605504865792
1,108,-868.3605504865792
1,109,-868.3605504865792
1,110,-868.3605504865792
1,111,-868.3605504865792
1,112,-868.3605504865792
1,113,-868.3605504865792
1,114,-868.3605504865792
1,115,-868.3605504865792
1,116,-868.3605504865792
1,117,-868.3605504865792
1,118,-868.3605504865792
1,119,-868.3605504865792
1,120,-868.3605504865792
1,121,-868.3605504865792
1,122,-868.3605504865792
1,123,-868.3605504865792
1,124,-868.3605504865792
1,125,-868.3605504865792
1,126,-868.3605504865792
1,127,-868.3605504865792
1,128,-868.3605504865792
1,129,-868.3605504865792
1,130,-868.3605504865792
1,131,-868.3605504865792
1,132,-868.3605504865792
1,133,-868.3605504865792
1,134,-868.3605504865792
1,135,-868.3605504865792
1,136,-868.3605504865792
1,137,-868.3605504865792
1,138,-868.3605504865792
1,139,-868.3605504865792
1,140,-868.3605504865792
1,141,-868.3605504865792
1,142,-868.3605504865792
1,143,-868.3605504865792
1,144,-868.3605504865792
1,145,-868.3605504865792
1,146,-868.3605504865792
1,147,-868.3605504865792
1,148,-868.3605504865792
1,149,-868.3605504865792
1,150,-868.3605504865792
1,151,-868.3605504865792
1,152,-868.3605504865792
1,153,-868.3605504865792
1,154,-868.3605504865792
1,155,-1174.1652844451387
1,156,-1174.1652844451387
1,157,-1174.1652844451387
1,158,-1174.1652844451387
1,159,-1174.1652844451387
1,160,-1174.1652844451387
1,161,-1174.1652844451387
1,162,-1174.1652844451387
1,163,-1174.1652844451387
1,164,-1174.1652844451387
1,165,-1174.1652844451387
1,166,-1174.1652844451387
1,167,-1174.1652844451387
1,168,-1174.1652844451387
1,169,-1174.1652844451387
1,170,-1174.1652844451387
1,171,-1174.1652844451387
1,172,-1174.1652844451387
1,173,-1174.1652844451387
1,174,-1174.1652844451387
1,175,-1174.1652844451387
1,176,-1174.1652844451387
1,177,-1174.1652844451387
1,178,-1174.1652844451387
