Station Number,Volume (mm^3),Mass (kg),Weight (N),Distance to Next Station (mm),Width (mm),Cross-Sectional Area (mm^2)
1,0.00024159351714689276,0.234345711632486,2.2989314311146876,100.892857,0.0,0.0
2,0.0010289287492901483,0.9980608868114439,9.790977299620264,100.892857,47.131519,256.3707921990419
3,0.0015911713763396844,1.543436235049494,15.141109465835536,100.89285699999996,92.13828699999999,406.23486363836577
4,0.0018560161827095164,1.800335697228231,17.661293189808948,100.89285800000005,135.04077,446.451711659554
5,0.0019268204662782485,1.869015852289901,18.33504551096393,100.89285699999999,175.843588,429.62561654782024
6,0.0019149207784976167,1.8574731551426882,18.22181165194977,100.89285699999994,214.570878,430.6969925969388
7,0.0018712108771614087,1.8150745508465664,17.805881343804817,100.89285700000005,251.258418,450.36812522767895
8,0.001854964310098065,1.799315380795123,17.651283885600158,100.89285700000005,285.912474,527.4374695463171
9,0.0019042381253260635,1.8471109815662816,18.120158729165222,100.89285699999994,318.567294,642.1870531978269
10,0.00196820708973472,1.9091608770426785,18.728868203788675,100.89285700000005,349.24145599999997,752.2108917310837
11,0.0020052267590878626,1.9450699563152267,19.081136271452376,100.89285800000005,377.96184200000005,872.5761722845256
12,0.00202430782476929,1.9635785900262115,19.262705968157135,100.89285699999982,404.761777,985.312241149172
13,0.0020498858312646465,1.9883892563267072,19.506098604564997,100.89285700000005,429.65099499999997,1003.6141654542663
14,0.002083466036602402,2.02096205550433,19.82563776449748,100.89285700000005,452.674692,957.2263112855505
15,0.0021077252031828147,2.0444934470873304,20.05648071592671,100.89285700000005,473.862794,946.6796598406618
16,0.0021253855529041366,2.0616239863170125,20.224531305769894,100.89285700000005,493.229228,956.8894498225659
17,0.0021382338546206783,2.074086838982058,20.34679189041399,100.89285699999982,510.833122,977.1384466198157
18,0.0021476347742002476,2.08320573097424,20.436248220857298,100.89285800000016,526.6817189999999,1001.0222372929862
19,0.002154822380881492,2.0901777094550473,20.504643329754014,100.89285699999982,540.8289930000001,1024.9877058854752
20,0.002160376786275048,2.0955654826867964,20.557497385157475,100.89285700000005,553.318649,1047.12405546182
21,0.0021646715016243605,2.0997313565756297,20.59836460800693,100.89285700000005,564.1834389999999,1066.4933534153552
22,0.0021680841468737534,2.103041622467541,20.630838316406575,100.89285699999982,573.479106,1082.813516025736
23,0.002170632467773445,2.1055134937402418,20.655087373591773,100.89285700000028,581.24811,1096.0403339260488
